"route","methods","file","lines","auth","models","services","dynamic"
"/api/accounting/accounts","GET|POST","app/api/accounting/accounts/route.ts","85","","accountingAccount","@/lib/accounting/data/dbService;@/lib/accounting/rbac/apiAuth;@/lib/prisma;@/lib/server/httpCacheHeaders;@/lib/api-guard","false"
"/api/accounting/ai/scan-invoice","POST","app/api/accounting/ai/scan-invoice/route.ts","47","","","@/lib/accounting/ai/invoiceOcrEngine;@/lib/accounting/ai/pdfTextExtract;@/lib/accounting/rbac/apiAuth","false"
"/api/accounting/ai/suggest-entry","POST","app/api/accounting/ai/suggest-entry/route.ts","41","","","@/lib/accounting/data/dbService;@/lib/accounting/ai/suggestEntryEngine;@/lib/accounting/rbac/apiAuth;@/lib/accounting/domain/types","false"
"/api/accounting/audit","GET","app/api/accounting/audit/route.ts","51","","accountingAuditLog","@/lib/prisma;@/lib/accounting/rbac/apiAuth;@/lib/api-guard","false"
"/api/accounting/bank-reconciliation","GET|POST","app/api/accounting/bank-reconciliation/route.ts","61","","","@/lib/accounting/data/dbService;@/lib/accounting/reports/bankReconciliation;@/lib/accounting/rbac/apiAuth","false"
"/api/accounting/data","GET","app/api/accounting/data/route.ts","83","","","@/lib/accounting/data/dbService","false"
"/api/accounting/documents/[id]/approve","POST","app/api/accounting/documents/[id]/approve/route.ts","44","","","@/lib/accounting/rbac/apiAuth;@/lib/accounting/data/dbService;@/lib/accounting/rules/dbPostingRules","false"
"/api/accounting/documents/[id]/cancel","POST","app/api/accounting/documents/[id]/cancel/route.ts","26","","","@/lib/accounting/rbac/apiAuth;@/lib/accounting/data/dbService","false"
"/api/accounting/documents/[id]","GET|PATCH","app/api/accounting/documents/[id]/route.ts","68","","","@/lib/accounting/data/dbService;@/lib/accounting/rbac/apiAuth","true"
"/api/accounting/documents","GET|POST","app/api/accounting/documents/route.ts","98","","","@/lib/accounting/data/dbService;@/lib/accounting/rules/dbPostingRules;@/lib/accounting/rbac/apiAuth;@/lib/server/httpCacheHeaders","false"
"/api/accounting/forecast","GET","app/api/accounting/forecast/route.ts","139","","","@/lib/accounting/data/dbService;@/lib/accounting/rbac/apiAuth","false"
"/api/accounting/journal/[id]/approve","POST","app/api/accounting/journal/[id]/approve/route.ts","26","","","@/lib/accounting/rbac/apiAuth;@/lib/accounting/data/dbService","false"
"/api/accounting/journal/[id]/cancel","POST","app/api/accounting/journal/[id]/cancel/route.ts","26","","","@/lib/accounting/rbac/apiAuth;@/lib/accounting/data/dbService","false"
"/api/accounting/journal","GET|POST","app/api/accounting/journal/route.ts","71","","","@/lib/accounting/data/dbService;@/lib/accounting/rbac/apiAuth;@/lib/server/httpCacheHeaders","false"
"/api/accounting/periods","GET|POST","app/api/accounting/periods/route.ts","53","","","@/lib/accounting/data/dbService;@/lib/accounting/rbac/apiAuth;@/lib/api-guard","false"
"/api/accounting/reports","GET","app/api/accounting/reports/route.ts","224","","","@/lib/accounting/data/dbService;@/lib/accounting/rbac/apiAuth","false"
"/api/accounting/reports/vat-export","GET","app/api/accounting/reports/vat-export/route.ts","70","","","@/lib/accounting/data/dbService;@/lib/accounting/reports/vatFtaExport;@/lib/accounting/rbac/apiAuth;@/lib/server/repositories/appSettingsRepo","false"
"/api/accounting/sync-bookings","POST","app/api/accounting/sync-bookings/route.ts","24","","","@/lib/accounting/rbac/apiAuth;@/lib/accounting/data/dbService","false"
"/api/address-book/bulk","POST","app/api/address-book/bulk/route.ts","70","requireAuth;requireRoles","addressBookContact","@/lib/prisma;@/lib/auth/guard;@/lib/server/syncUserToAddressBook","false"
"/api/address-book","GET|POST","app/api/address-book/route.ts","268","getServerSession;authOptions","user;addressBookContact","@/lib/auth;@/lib/prisma;@/lib/auth/getAuthSubFromRequest;@/lib/server/addressBookIdentity;@/lib/server/addressBookDedupe;@/lib/server/httpCacheHeaders;@/lib/server/syncUserToAddressBook;@/lib/server/applyUserIdentityToContactJson;@/lib/server/addressBookDbCompat","true"
"/api/admin/address-book/bulk-ensure-from-users","POST","app/api/admin/address-book/bulk-ensure-from-users/route.ts","61","requireAuth;requireRoles","user","@/lib/prisma;@/lib/auth/guard;@/lib/server/ensureAddressBookForUser","false"
"/api/admin/address-book/import-csv","POST","app/api/admin/address-book/import-csv/route.ts","29","requireAuth;requireRoles","","@/lib/auth/guard;@/lib/server/importAddressBookCsv","true"
"/api/admin/address-book/merge-duplicates","GET|POST","app/api/admin/address-book/merge-duplicates/route.ts","40","requireAuth;requireRoles","","@/lib/auth/guard;@/lib/server/mergeAddressBookDuplicates","true"
"/api/admin/address-book/sync-from-bookings","POST","app/api/admin/address-book/sync-from-bookings/route.ts","23","requireAuth;requireRoles","","@/lib/auth/guard;@/lib/server/syncBookingsToAddressBook","true"
"/api/admin/contact-submissions/[id]","PATCH","app/api/admin/contact-submissions/[id]/route.ts","37","requireAuth;requireRoles","contactSubmission","@/lib/prisma;@/lib/auth/guard","true"
"/api/admin/contact-submissions","GET","app/api/admin/contact-submissions/route.ts","62","requireAuth;requireRoles","contactSubmission","@/lib/prisma;@/lib/auth/guard;@/lib/server/pagination;@/lib/server/piiField","true"
"/api/admin/dashboard-insights","GET","app/api/admin/dashboard-insights/route.ts","166","requireAuth;requireRoles","property;project;user;bookingStorage;subscription;contactSubmission;maintenanceRequest","@/lib/auth/guard;@/lib/prisma;@/lib/server/paymentGateway;@/lib/server/legacyBookingSettingsCleanup;@/lib/admin/dashboardInsights;@/lib/server/repositories/bookingStorageRepo","true"
"/api/admin/data/backup","POST","app/api/admin/data/backup/route.ts","72","","","@/lib/prisma;@/lib/server/dataBackupSnapshot;@/lib/server/adminDataPin;@/lib/server/authSecret","true"
"/api/admin/data/change-pin","POST","app/api/admin/data/change-pin/route.ts","64","","","@/lib/server/adminDataPin;@/lib/server/authSecret","true"
"/api/admin/data/pin-status","GET","app/api/admin/data/pin-status/route.ts","53","","","@/lib/server/adminDataPin;@/lib/server/authSecret","true"
"/api/admin/data/reset","POST","app/api/admin/data/reset/route.ts","76","","","@/lib/prisma;@/lib/server/dataResetKeepProperties;@/lib/server/adminDataPin;@/lib/server/authSecret","true"
"/api/admin/data/restore","POST","app/api/admin/data/restore/route.ts","87","","","@/lib/prisma;@/lib/server/dataBackupSnapshot;@/lib/server/adminDataPin;@/lib/server/authSecret","true"
"/api/admin/impersonate-session","POST","app/api/admin/impersonate-session/route.ts","62","","user","@/lib/prisma;@/lib/server/authSecret","false"
"/api/admin/legacy-booking-settings","GET|POST","app/api/admin/legacy-booking-settings/route.ts","83","requireAuth;requireRoles","","@/lib/auth/guard;@/lib/server/legacyBookingSettingsCleanup","true"
