"file","top","extension","bytes","lines","active","client","imports","localImports","exports","storage","flags"
".cursor/rules/draft-auto-save.mdc",".cursor",".mdc","1476","0","true","false","0","0","","",""
".cursor/rules/git-push-after-update.mdc",".cursor",".mdc","606","0","true","false","0","0","","",""
".cursor/rules/neon-postgres-source-of-truth.mdc",".cursor",".mdc","1095","0","true","false","0","0","","",""
".cursor/rules/required-fields-styling.mdc",".cursor",".mdc","1789","0","true","false","0","0","","",""
".cursor/rules/session-context.mdc",".cursor",".mdc","1868","0","true","false","0","0","","",""
".cursor/rules/technical-engineering-crm.mdc",".cursor",".mdc","7097","0","true","false","0","0","","",""
".env.example","(root)",".example","2222","52","true","false","0","0","","",""
".github/workflows/e2e-api.yml",".github",".yml","1959","69","true","false","0","0","","",""
".github/workflows/migrate-serials-bhd.yml",".github",".yml","913","35","true","false","0","0","","",""
".gitignore","(root)","(none)","1290","0","true","false","0","0","","",""
"AFTER_FIX_GUIDE.md","(root)",".md","7245","247","true","false","2","2","","Prisma","console.log"
"AUDIT-REPORT.md","(root)",".md","7872","114","true","false","1","0","","Prisma","console.log;console.error"
"CHANGELOG_SECURITY_PERFORMANCE.md","(root)",".md","19263","595","true","false","7","5","getProperties","Prisma;localStorage",""
"CHECK.md","(root)",".md","1761","59","true","false","0","0","","",""
"DEPLOYMENT.md","(root)",".md","6331","108","true","false","0","0","","",""
"NEXT_STEPS.md","(root)",".md","2427","73","true","false","0","0","","",""
"QUICK_START.md","(root)",".md","1448","49","true","false","0","0","","",""
"README.md","(root)",".md","7216","234","true","false","6","6","","localStorage",""
"SECURITY_AUDIT_REPORT.md","(root)",".md","7977","248","true","false","0","0","","",""
"TEST.md","(root)",".md","789","28","true","false","0","0","","",""
"app/[locale]/about/page.tsx","app",".tsx","120","6","true","false","1","1","About","",""
"app/[locale]/admin/AdminLayoutInner.tsx","app",".tsx","36699","762","true","true","20","13","AdminLayoutInner","localStorage;sessionStorage",""
"app/[locale]/admin/AdminLayoutWrapper.tsx","app",".tsx","1773","45","true","true","4","3","AdminLayoutWrapper","",""
"app/[locale]/admin/accounting/AdminAccountingClient.tsx","app",".tsx","3407","72","true","true","8","5","AdminAccountingClient","",""
"app/[locale]/admin/accounting/accounting.module.css","app",".css","6830","312","true","false","0","0","","",""
"app/[locale]/admin/accounting/accounts/page.tsx","app",".tsx","349","10","true","false","1","0","AccountsRedirectPage","",""
"app/[locale]/admin/accounting/journal/page.tsx","app",".tsx","346","10","true","false","1","0","JournalRedirectPage","",""
"app/[locale]/admin/accounting/page.tsx","app",".tsx","1510","42","true","false","3","3","dynamic;revalidate;AdminAccountingPage","","force-dynamic;console.error"
"app/[locale]/admin/accounting/reports/page.tsx","app",".tsx","346","10","true","false","1","0","ReportsRedirectPage","",""
"app/[locale]/admin/address-book/loading.tsx","app",".tsx","388","12","true","false","0","0","LoadingAddressBookPage","",""
"app/[locale]/admin/address-book/page.tsx","app",".tsx","160253","2660","true","true","26","21","AdminAddressBookPage","sessionStorage","document.write;no-store;Math.random"
"app/[locale]/admin/admin.css","app",".css","50659","1849","true","false","0","0","","",""
"app/[locale]/admin/analytics/loading.tsx","app",".tsx","208","8","true","false","0","0","AnalyticsLoading","",""
"app/[locale]/admin/analytics/page.tsx","app",".tsx","1134","31","true","true","3","1","AnalyticsPage","",""
"app/[locale]/admin/backup/page.tsx","app",".tsx","1125","31","true","true","3","1","BackupPage","",""
"app/[locale]/admin/bank-details/page.tsx","app",".tsx","23830","551","true","true","8","5","AdminBankDetailsPage","",""
"app/[locale]/admin/bookings/loading.tsx","app",".tsx","319","11","true","false","0","0","LoadingBookingsPage","",""
"app/[locale]/admin/bookings/page.tsx","app",".tsx","108399","1662","true","true","21","18","AdminBookingsPage","",""
