enum,value,mapped_value,description
UserRole,ADMIN,,
UserRole,COMPANY,,
UserRole,CLIENT,,
UserRole,OWNER,,
UserRole,ORG_MANAGER,,
ProjectStatus,COMPLETED,,
ProjectStatus,UNDER_DEVELOPMENT,,
ProjectStatus,UNDER_CONSTRUCTION,,
ProjectStatus,PLANNING,,
TaskStatus,PENDING,,
TaskStatus,IN_PROGRESS,,
TaskStatus,COMPLETED,,
TaskStatus,CANCELLED,,
DocumentType,CONTRACT,,
DocumentType,INVOICE,,
DocumentType,REPORT,,
DocumentType,CERTIFICATE,,
DocumentType,OTHER,,
PropertyType,RENT,,
PropertyType,SALE,,
PropertyType,INVESTMENT,,
PropertyStatus,ACTIVE,,
PropertyStatus,FROZEN,,
PropertyStatus,ARCHIVED,,
AccountingAccountType,ASSET,,
AccountingAccountType,LIABILITY,,
AccountingAccountType,EQUITY,,
AccountingAccountType,REVENUE,,
AccountingAccountType,EXPENSE,,
AccountingDocType,INVOICE,,
AccountingDocType,RECEIPT,,
AccountingDocType,QUOTE,,
AccountingDocType,DEPOSIT,,
AccountingDocType,PAYMENT,,
AccountingDocType,JOURNAL,,
AccountingDocType,PURCHASE_INV,,
AccountingDocType,PURCHASE_ORDER,,
AccountingDocType,CREDIT_NOTE,,
AccountingDocType,DEBIT_NOTE,,
AccountingDocType,OTHER,,
AccountingDocStatus,DRAFT,,
AccountingDocStatus,PENDING,,
AccountingDocStatus,APPROVED,,
AccountingDocStatus,PAID,,
AccountingDocStatus,CANCELLED,,
AccountingEntryStatus,DRAFT,,
AccountingEntryStatus,PENDING,,
AccountingEntryStatus,APPROVED,,
AccountingEntryStatus,POSTED,,
AccountingEntryStatus,CANCELLED,,
AccountingPermission,ACCOUNT_VIEW,,
AccountingPermission,ACCOUNT_EDIT,,
AccountingPermission,JOURNAL_CREATE,,
AccountingPermission,JOURNAL_APPROVE,,
AccountingPermission,JOURNAL_CANCEL,,
AccountingPermission,DOCUMENT_CREATE,,
AccountingPermission,PERIOD_LOCK,,
AccountingPermission,REPORT_VIEW,,
AccountingPermission,AUDIT_VIEW,,
NotificationKind,BOOKING,,
NotificationKind,CONTRACT,,
NotificationKind,PAYMENT,,
NotificationKind,SYSTEM,,
NotificationKind,SUBSCRIPTION,,
NotificationKind,MAINTENANCE,,
MaintenanceStatus,OPEN,,
MaintenanceStatus,IN_PROGRESS,,
MaintenanceStatus,COMPLETED,,
MaintenanceStatus,CANCELLED,,
ArchiveEntityType,PROPERTY,,
ArchiveEntityType,DOCUMENT,,
ArchiveEntityType,ACCOUNT,,
ArchiveEntityType,CONTRACT,,
ArchiveEntityType,RESERVATION,,
ArchiveEntityType,USER,,
ArchiveAction,ARCHIVE,,
ArchiveAction,RESTORE,,
ArchiveAction,AUTO_ARCHIVE,,
ArchiveAction,POLICY_APPLIED,,
ArchiveStatus,PENDING,,
ArchiveStatus,COMPLETED,,
ArchiveStatus,FAILED,,
ArchiveStatus,CANCELLED,,
KeyStatus,ACTIVE,,
KeyStatus,ROTATED,,
KeyStatus,EXPIRED,,
KeyStatus,REVOKED,,
ScoreCategory,RENT_PAYMENT,,
ScoreCategory,BILL_PAYMENT,,
ScoreCategory,MAINTENANCE,,
ScoreCategory,OVERALL,,
ScoreLevel,EXCELLENT,,
ScoreLevel,GOOD,,
ScoreLevel,AVERAGE,,
ScoreLevel,POOR,,
ScoreLevel,CRITICAL,,
AlertType,RENT_DUE,,
AlertType,RENT_OVERDUE,,
AlertType,BILL_DUE,,
AlertType,BILL_OVERDUE,,
AlertType,CONTRACT_EXPIRE,,
AlertType,MAINTENANCE,,
AlertType,TASK_ASSIGNED,,
AlertType,SYSTEM,,
AlertPriority,LOW,,
AlertPriority,MEDIUM,,
AlertPriority,HIGH,,
AlertPriority,CRITICAL,,
AlertStatus,UNREAD,,
AlertStatus,READ,,
AlertStatus,DISMISSED,,
TenantTaskStatus,PENDING,,
TenantTaskStatus,IN_PROGRESS,,
TenantTaskStatus,COMPLETED,,
TenantTaskStatus,CANCELLED,,
TaskType,RENEWAL,,
TaskType,PAYMENT,,
TaskType,MAINTENANCE,,
TaskType,INSPECTION,,
TaskType,DOCUMENT,,
TaskType,OTHER,,
DueType,RENT,,
DueType,BILL,,
DueType,DEPOSIT,,
DueType,PENALTY,,
DueType,MAINTENANCE,,
DueType,OTHER,,
DueStatus,PENDING,,
DueStatus,OVERDUE,,
DueStatus,PAID,,
DueStatus,PARTIAL,,
DueStatus,WAIVED,,
SignatureMethod,OTP_SMS,,
SignatureMethod,OTP_EMAIL,,
SignatureMethod,DRAW,,
SignatureMethod,QR_CODE,,
SignatureMethod,BIOMETRIC,,
SignatureStatus,PENDING,,
SignatureStatus,SENT,,
SignatureStatus,SIGNED,,
SignatureStatus,REJECTED,,
SignatureStatus,EXPIRED,,
AutoAccountStatus,PENDING,,
AutoAccountStatus,SENT,,
AutoAccountStatus,ACTIVATED,,
AutoAccountStatus,DISABLED,,
