"model","count","files"
"account","1","lib/server/dataBackupSnapshot.ts"
"accountingAccount","9","app/api/accounting/accounts/route.ts;app/api/admin/legacy-bridge/data-health/route.ts;docs/kimi-review/security_review_report.md;docs/reviews/kimi-agent-2026-07/security_review_report.md;lib/accounting/chartOfAccounts.ts;lib/accounting/core.ts;lib/accounting/data/dbService.ts;lib/payment/accounting-link.ts;lib/server/dataBackupSnapshot.ts"
"accountingAuditLog","4","app/api/accounting/audit/route.ts;lib/accounting/data/dbService.ts;lib/audit.ts;lib/server/dataBackupSnapshot.ts"
"accountingDocument","6","app/api/bookings/[id]/confirm-receipt/route.ts;lib/accounting/data/dbService.ts;lib/server/dataBackupSnapshot.ts;lib/server/migrateSerialsToBhd.ts;lib/server/publicContractAccess.ts;scripts/backfill-accounting-journal-links.ts"
"accountingFiscalPeriod","2","lib/accounting/data/dbService.ts;lib/server/dataBackupSnapshot.ts"
"accountingJournalEntry","11","app/api/admin/legacy-bridge/data-health/route.ts;app/api/admin/payment-gateway/route.ts;app/api/payment/config/route.ts;docs/kimi-review/مراجعة_المحاسبة_والصفحة_الرئيسية.md;docs/reviews/kimi-agent-2026-07/مراجعة_المحاسبة_والصفحة_الرئيسية.md;lib/accounting/core.ts;lib/accounting/data/dbService.ts;lib/payment/accounting-link.ts;lib/server/dataBackupSnapshot.ts;lib/server/migrateSerialsToBhd.ts;scripts/backfill-accounting-journal-links.ts"
"accountingJournalLine","1","lib/server/dataBackupSnapshot.ts"
"addressBookContact","24","app/api/address-book/bulk/route.ts;app/api/address-book/route.ts;app/api/admin/legacy-bridge/address-book/print/route.ts;app/api/admin/legacy-bridge/data-health/route.ts;app/api/admin/users/[id]/ensure-address-book/route.ts;app/api/admin/users/[id]/linked-contact/route.ts;app/api/scan/contact/[contactId]/route.ts;app/api/user/linked-contact/route.ts;docs/DAILY-CONTEXT.md;lib/portal/contractsForUser.ts;lib/server/addressBookContactUpsert.ts;lib/server/addressBookDedupe.ts;lib/server/addressBookIdentity.ts;lib/server/dataBackupSnapshot.ts;lib/server/ensureAddressBookForUser.ts;lib/server/importAddressBookCsv.ts;lib/server/legacyBridge.ts;lib/server/mergeAddressBookDuplicates.ts;lib/server/migrateSerialsToBhd.ts;lib/server/publicContractAccess.ts;lib/server/publicContractContactSync.ts;lib/server/syncBookingsToAddressBook.ts;lib/server/syncUserToAddressBook.ts;scripts/recover-address-book-from-kv.ts"
"addressBookContactFile","5","app/api/admin/legacy-bridge/address-book/files/[id]/route.ts;app/api/admin/legacy-bridge/data-health/route.ts;app/api/admin/legacy-bridge/files/[id]/route.ts;lib/server/addressBookContactFiles.ts;lib/server/legacyBridge.ts"
"appSetting","6","docs/DAILY-CONTEXT.md;lib/server/adminDataPin.ts;lib/server/adminTotp.ts;lib/server/dataBackupSnapshot.ts;lib/server/legacyBookingSettingsCleanup.ts;lib/server/repositories/appSettingsRepo.ts"
"archivePolicy","1","lib/archive/index.ts"
"archiveRecord","1","lib/archive/index.ts"
"archiveRestoreLog","1","lib/archive/index.ts"
"auditLog","4","app/api/admin/security/audit/route.ts;docs/kimi-review/security_review_report.md;docs/reviews/kimi-agent-2026-07/security_review_report.md;lib/server/securityAudit.ts"
"autoUserAccount","1","app/api/portal/auto-account/route.ts"
"bookingCheckStorage","2","lib/server/legacyBookingSettingsCleanup.ts;lib/server/repositories/bookingCheckStorageRepo.ts"
"bookingDocumentFile","3","app/api/upload/booking-documents/route.ts;app/api/upload/booking-documents/serve/[id]/route.ts;lib/server/dataBackupSnapshot.ts"
"bookingDocumentStorage","2","lib/server/legacyBookingSettingsCleanup.ts;lib/server/repositories/bookingDocumentStorageRepo.ts"
"bookingStorage","25","app/api/admin/dashboard-insights/route.ts;app/api/admin/legacy-bridge/data-health/route.ts;app/api/bookings/[id]/confirm-receipt/route.ts;app/api/bookings/pending-confirmation/route.ts;app/api/bookings/route.ts;app/api/contracts/[id]/route.ts;app/api/contracts/route.ts;app/api/me/portal-insights/route.ts;app/api/portal/tenant/route.ts;app/api/signature-request/[token]/route.ts;app/api/signature-request/create/route.ts;docs/kimi-review/performance_review_report.md;docs/reviews/kimi-agent-2026-07/performance_review_report.md;lib/accounting/data/dbService.ts;lib/server/dataBackupSnapshot.ts;lib/server/migrateSerialsToBhd.ts;lib/server/persistBooking.ts;lib/server/publicContractAccess.ts;lib/server/repositories/bookingCheckStorageRepo.ts;lib/server/repositories/bookingStorageRepo.ts;lib/server/repositories/contractStorageRepo.ts;lib/server/siteStats.ts;lib/server/syncBookingsToAddressBook.ts;lib/server/syncContractBookingStorage.ts;scripts/backfill-booking-encryption.ts"
"company","7","legacy/bhd-real-estate/apps/api/prisma/seed.js;legacy/bhd-real-estate/apps/api/src/jobs/trial-expiry.js;legacy/bhd-real-estate/apps/api/src/lib/company-limits.js;legacy/bhd-real-estate/apps/api/src/routes/saas.js;legacy/bhd-real-estate/tools/migrate-files-to-cloud.js;legacy/bhd-real-estate/tools/migrate-kv-to-pg.js;legacy/bhd-real-estate/tools/test-company-isolation.js"
"companyMember","2","docs/kimi-review/security_review_report.md;docs/reviews/kimi-agent-2026-07/security_review_report.md"
"companyUser","2","legacy/bhd-real-estate/apps/api/prisma/seed.js;legacy/bhd-real-estate/apps/api/src/lib/auth.js"
"config","5","AUDIT-REPORT.md;docs/DAILY-CONTEXT.md;docs/DATABASE-SETUP-AND-MIGRATION.md;docs/kimi-review/architecture_review_report.md;docs/reviews/kimi-agent-2026-07/architecture_review_report.md"
"contactSubmission","6","app/api/admin/contact-submissions/[id]/route.ts;app/api/admin/contact-submissions/route.ts;app/api/admin/dashboard-insights/route.ts;app/api/contact-submissions/route.ts;lib/server/dataBackupSnapshot.ts;scripts/backfill-contact-pii-encryption.ts"
"contractStorage","7","app/api/admin/legacy-bridge/data-health/route.ts;docs/kimi-review/performance_review_report.md;docs/reviews/kimi-agent-2026-07/performance_review_report.md;lib/portal/contractsForUser.ts;lib/server/repositories/contractStorageRepo.ts;lib/server/siteStats.ts;scripts/backfill-contract-encryption.ts"
"document","1","lib/server/dataBackupSnapshot.ts"
"dueAmount","6","app/[locale]/portal/owner/v2/page.tsx;app/[locale]/portal/tenant/v2/page.tsx;app/api/portal/owner-v2/route.ts;app/api/portal/tenant-score/route.ts;app/api/portal/tenant-v2/route.ts;lib/payment/accounting-link.ts"
"encryptionKey","1","lib/encryption/index.ts"
"impersonateLog","2","docs/kimi-review/security_review_report.md;docs/reviews/kimi-agent-2026-07/security_review_report.md"
"jobQueue","2","docs/kimi-review/architecture_review_report.md;docs/reviews/kimi-agent-2026-07/architecture_review_report.md"
