permission,resource,PUB,PSA,PA,LM,SUP,PFO,SAUD,CE,OA,PM,LA,FM,MC,OV,DA,DPM,DIM,DLA,DFV,DRV,LGL,TP,TR,OCV,SYS
public.listings.read,PublishedListing,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,I
public.viewings.create,ViewingRequest,A,A,A,A,A,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
platform.settings.manage,PlatformConfig,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
platform.users.read,IdentityMetadata,N,A,A,N,A,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,I
platform.users.status,IdentityLink,N,A,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
platform.organizations.manage,Organization,N,A,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
platform.plans.manage,Plan,N,A,A,N,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
platform.audit.read,AuditEvent,N,A,N,N,N,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
platform.security.manage,SecurityConfig,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
platform.support.access,SupportCase,N,A,A,N,A,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
content.pages.manage,CmsContent,N,A,A,N,N,N,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
content.listings.moderate,Listing,N,A,A,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
organization.profile.read,Organization,N,A,A,N,A,N,A,N,O,O,O,O,O,O,O,O,O,O,O,O,O,G,G,G,I
organization.profile.update,Organization,N,A,A,N,N,N,N,N,O,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,I
organization.team.invite,Membership,N,A,A,N,N,N,N,N,O+C,N,N,N,N,N,N,O+C,N,N,N,N,N,N,N,N,I
organization.team.roles.assign,Membership,N,A,A,N,N,N,N,N,O,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,I
organization.api_keys.manage,ApiKey,N,A,A,N,N,N,A,N,O+C,N,N,N,N,N,N,O+C,N,N,N,N,N,N,N,N,I
property.create,Property,N,A,A,N,N,N,N,N,O+C,O+C,N,N,N,N,N,O+C,O+C,O+C,N,N,N,N,N,N,I
property.read,Property,N,A,A,R,R,N,A,N,O,O,R,O,R,O,O,O,R,R,R,O,O,G,G,G,I
property.update,Property,N,A,A,N,N,N,N,N,O,R,N,N,N,N,N,O,R,R,N,N,N,N,N,N,I
property.archive,Property,N,A,A,N,N,N,N,N,O,R,N,N,N,N,N,O,R,R,N,N,N,N,N,N,I
unit.manage,Unit,N,A,A,N,N,N,N,N,O,R,N,N,N,N,N,O,R,R,N,N,N,N,N,N,I
media.manage,MediaAsset,N,A,A,N,N,N,N,N,O,R,R,N,N,N,N,O,R,R,R,N,N,N,N,N,I
private_documents.read,PrivateDocument,N,A,A,N,N,N,A,N,O,R,R,R,R,O,O,O,R,R,R,O,O,G,G,N,I
private_documents.manage,PrivateDocument,N,A,A,N,N,N,N,N,O,R,R,N,N,N,N,O,R,R,R,N,N,N,N,N,I
listing.publish,Listing,N,A,A,N,N,N,N,N,O+C,R+C,R+C,N,N,N,N,O+C,R+C,R+C,R+C,N,N,N,N,N,I
lead.read,Lead,N,A,A,N,R,N,N,N,O,R,R,N,N,O,O,O,R,R,R,N,O,N,N,N,I
viewing.manage,ViewingRequest,N,A,A,N,R,N,N,N,O,R,R,N,N,N,N,O,R,R,R,N,N,G,G,N,I
application.review,LeaseApplication,N,A,A,N,N,N,N,N,O,R,R,N,N,N,N,O,R,R,R,N,N,N,N,N,I
reservation.create,Reservation,N,A,A,N,N,N,N,N,O,R,R,N,N,N,N,O,R,R,R,N,N,N,N,N,I
reservation.cancel,Reservation,N,A,A,N,N,N,N,N,O,R,R,N,N,N,N,O,R,R,R,N,N,G,G,N,I
contract.templates.manage,ContractTemplate,N,A,A,N,N,N,N,N,O+C,N,N,N,N,N,N,O+C,N,N,N,N,N,N,N,N,I
contract.draft,ContractVersion,N,A,A,N,N,N,N,N,O,R,R,N,N,N,N,O,R,R,R,N,N,N,N,N,I
contract.approve,ContractVersion,N,A,A,N,N,N,N,N,O,R+C,N,N,N,N,N,O,R+C,N,N,N,N,N,N,N,I
contract.sign,SignatureEnvelope,N,N,N,N,N,N,N,N,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,N,I
lease.activate,Lease,N,A,A,N,N,N,N,N,O,R+C,R+C,N,N,N,N,O,R+C,N,R+C,N,N,N,N,N,I
lease.terminate,Lease,N,A,A,N,N,N,N,N,O,R+C,R+C,N,N,N,N,O,R+C,N,R+C,N,N,G,G,N,I
rent_schedule.read,RentSchedule,N,A,A,N,R,N,A,N,O,R,R,O,N,O,O,O,R,R,R,O,O,G,G,G,I
rent_schedule.manage,RentSchedule,N,A,A,N,N,N,N,N,O,N,N,O,N,N,N,O,N,N,N,N,N,N,N,N,I
invoice.issue,Invoice,N,A,A,N,N,N,N,N,O,N,N,O,N,N,N,O,N,N,N,N,N,N,N,N,I
payment.read,Payment,N,A,A,N,R,A,A,N,O,N,N,O,N,O,O,O,N,N,N,O,O,G,G,G,I
payment.refund,Payment,N,A,A,N,N,A,N,N,O+C,N,N,O+C,N,N,N,O+C,N,N,N,N,N,N,N,N,I
reports.view,Report,N,A,A,N,R,A,A,N,O,R,R,O,R,O,O,O,R,R,R,O,O,N,N,N,I
reports.export,Report,N,A,A,N,N,A,A,N,O+C,R+C,N,O+C,N,O+C,O,O+C,R+C,R+C,N,O+C,O+C,N,N,N,I
maintenance.create,MaintenanceRequest,N,A,A,N,R,N,N,N,O,R,R,N,R,O,O,O,R,R,R,N,O,G,G,G,I
maintenance.manage,MaintenanceRequest,N,A,A,N,R,N,N,N,O,R,N,N,R,N,N,O,R,R,N,N,N,G,G,N,I
resource_grants.manage,ResourceGrant,N,A,A,N,N,N,A,N,O,N,R,N,N,N,N,O,N,R,N,N,N,N,N,N,I
tenant.documents.read,SharedDocument,N,A,A,N,R,N,A,N,O,R,R,R,R,O,O,O,R,R,R,O,O,G,G,G,I
tenant.profile.update,TenantProfile,N,A,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,I
privacy.self_export,DataSubjectExport,N,A,A,N,N,N,A,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I
privacy.self_delete_request,DataSubjectRequest,N,A,A,N,N,N,A,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I
identity.invitation.create,IdentityInvitation,N,A,A,N,N,N,N,N,O+C,N,R+C,N,N,N,N,O+C,N,R+C,R+C,N,N,N,N,N,I
system.webhook.process,WebhookEvent,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
system.jobs.manage,JobRun,N,A,A,N,N,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,I
